MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
6,2961,289836627.721,44326516965.2,1.259331,21.28195,10.276125,0.817274,0.117976,10.9998881588,0.918149364765,-1.397215,0.3333025,427.946379458,501.023175017,-64959.5446836,11209.3674654,-0.917403619615,0.158306440361,12
7,20882,1178409750.88,76952926244.0,0.18271,16.4729,2.0706,0.776327,0.164289,11.5279652627,2.20148780033,-0.889965,1.22484,790.42213745,352.643087939,-56459.0267683,5075.11340841,-1.06664021865,0.0958805063683,13
7,17775,9919295.73005,5375114675.64,1.259331,29.6434,0.0,0.868149,0.0,11.4259738862,0.0,-1.54635,0.0,-309.355641961,0.0,-37874.644664,0.0,-0.715538711488,0.0,1
7,16639,61214148.011,21985719843.2,2.478413,7.37577,4.182705,0.688456,0.158794,12.0368676887,0.313593463991,-1.61334,0.47891,-180.665591112,121.163889035,-70158.614696,6250.59413544,-1.32545678526,0.118088027317,3
7,16277,12113584.5458,10121832629.9,3.527977,5.49862,0.0,0.332602,0.0,12.2354907305,0.0,-1.91729,0.0,190.992090252,0.0,-71862.3751949,0.0,-1.35764472004,0.0,1
8,1879,17480750.8841,7303867594.09,1.259331,27.44485,2.02765,0.815534,0.051448,11.4974533991,0.0102923870138,-2.10306,0.29815,539.350651661,572.762825811,-44115.8748571,1237.25274109,-0.885160358336,0.0248247843481,2
8,81,5224986.58975,2475145539.65,7.049566,7.81635,0.0,0.479654,0.0,13.1242444541,0.0,-2.12835,0.0,372.618211031,0.0,-60590.6309996,0.0,-1.21571712725,0.0,1
9,6860,1245898466.57,92586979184.2,0.0,45.4784,20.1255,0.680519,0.120614,8.68284513838,2.71297713559,-1.10111,0.644631,1498.5323276,755.464263103,-35232.995954,5631.91356521,-0.717053247903,0.114619316482,17
9,2328,23156656.5996,13518476795.8,1.486707,36.7163,0.0,0.528988,0.0,11.4616804947,0.0,-1.49827,0.0,-1116.66677638,0.0,-37261.8878476,0.0,-0.758344755553,0.0,1
9,2479,16471715.027,4392289316.76,1.486707,14.6325,0.0,0.572904,0.0,11.4419367679,0.0,-2.30213,0.0,141.330863753,0.0,-51301.6598373,0.0,-1.04407873396,0.0,1
9,1115,29495059.4599,16583231182.5,2.237037,9.524,0.0,0.67014,0.0,11.7179739462,0.0,-1.48783,0.0,197.78637682,0.0,-64245.3380151,0.0,-1.30750528131,0.0,1
9,1280,18701993.4754,9606384819.41,2.237037,7.1695,0.0,0.509764,0.0,12.2936612216,0.0,-2.02792,0.0,-477.14596252,0.0,-65454.7592174,0.0,-1.33211912347,0.0,1
10,18674,210881705.404,30847269119.9,0.18271,170.16,152.826925,0.936166,0.16300625,11.6749199931,2.73243897713,-1.29922,0.65627,475.419297622,7919.09217427,-48719.9022038,10343.4894753,-0.366688825117,0.0778499510827,4
10,13166,6274201973.04,224973966506.0,0.365669,20.5561,17.9569,0.826725,0.165041,8.07223448895,0.703838925283,-0.627553,0.29536,49.7787542714,725.905465822,-117645.121349,29311.5718367,-0.8854523383,0.220612631655,107
10,11839,34197503.2432,12243252263.5,0.503107,55.8589,0.0,0.358626,0.0,10.392636731,0.0,-1.26042,0.0,7624.10525883,0.0,-75105.5860191,0.0,-0.565279851792,0.0,1
10,9275,28910406.1504,14024871771.6,0.865051,90.0994,0.0,0.857799,0.0,10.8868902167,0.0,-1.99081,0.0,-1331.47752381,0.0,-53265.0682173,0.0,-0.400897875424,0.0,1
10,7593,239333685.642,36806558567.1,1.004122,67.2586,24.725575,0.777123,0.23569825,11.4544591936,1.70595163004,-1.70743,0.6427475,-551.00311,2978.97934106,-77445.9363714,23381.4840543,-0.582894425759,0.175980010828,18
10,6765,75397797.7897,12144337753.0,1.259331,48.5524,0.4341,0.6738205,0.1612065,11.4752828775,0.698490160523,-1.60886,0.14122,3309.57365583,1649.86131076,-81821.2927868,7903.458031,-0.61582540942,0.0594851304838,2
10,6881,1121151318.89,8278537222.25,1.259331,24.3549,22.42345,0.796352,0.0421375,9.91026673448,0.169458505193,-0.794966,0.291276,6.91025983261,1133.49722817,-113707.110657,32317.4224304,-0.855813023598,0.243236072442,7
10,2681,1254131154.75,112036053051.0,1.736966,33.8218,52.9859,0.790788,0.227792,11.233497986,0.746184509624,-1.03281,0.484228,-104.417847296,1798.93168888,-104343.651472,37333.569986,-0.785339239943,0.280989950643,37
10,3655,1666205100.33,137594320684.0,1.736966,11.549,13.61539,0.62019,0.439976,11.8586554875,0.912162719467,-1.30053,0.621267,94.9788129665,857.15576526,-133475.906475,30691.8839939,-1.00460224904,0.231001508075,37
10,935,210517504.27,40644432778.2,2.237037,12.71488,16.46938,0.546013,0.1454555,12.3970471353,0.373914815859,-1.855415,0.344915,-232.807706942,848.871404796,-133427.221991,30324.2622019,-1.00423582678,0.228234614119,8
10,255,7895246.92978,3455015292.68,3.527977,10.7328,0.0,0.108628,0.0,13.1489416455,0.0,-2.22429,0.0,1804.53522794,0.0,-128974.589839,0.0,-0.970723229702,0.0,1
11,5899,813243844.982,163791474118.0,0.270901,77.06325,70.2625,0.755514,0.02328325,7.55147442833,0.419461506779,-1.4626,0.2420475,1390.75282709,1884.95748288,-70592.7697306,20573.4548657,-0.814702115753,0.237435608086,6
11,7230,38285819.7006,19858155047.2,0.270901,84.7319,0.0,0.580022,0.0,7.71601690345,0.0,-1.69506,0.0,1206.96596944,0.0,-63787.9871287,0.0,-0.736168991127,0.0,1
11,5120,9347759.54315,10052634249.5,0.365669,66.5971,29.5505,0.485012,0.195325,10.7681336812,2.55719234552,-1.848965,0.039735,2280.14556037,3.66923640972,-68465.7012578,7680.56845923,-0.790153890889,0.0886404570582,2
11,2372,39338329.6461,13210763089.8,1.259331,72.0891,34.31015,0.739623,0.1258385,11.4343608107,0.462516899035,-2.05893,0.142795,-1349.9697876,1927.51102809,-64375.1373988,9650.84317939,-0.742945217207,0.111379145301,3
11,2598,14402098.1399,6811722499.6,1.259331,69.1189,0.0,0.686768,0.0,12.2939991685,0.0,-1.77706,0.0,3266.10432661,0.0,-68609.4621303,0.0,-0.791813016709,0.0,1
11,660,233666868.808,32301625970.4,2.478413,4.24733,6.068935,0.737876,0.35701525,11.7689301926,0.30495749654,-1.41531,0.2217225,70.5282369327,188.480078111,-112016.4412,15710.8192798,-1.2927674037,0.18131655347,12
11,422,13316050.7215,7469048626.01,3.016505,48.4377,0.0,0.368005,0.0,13.4003791623,0.0,-2.2033,0.0,1641.72823761,0.0,-78556.703704,0.0,-0.906612857924,0.0,1
11,149,56190241.9632,77618795526.9,3.527977,13.69035,2.24375,0.763168,0.004453,12.2212807962,0.0201588460893,-1.852265,0.228705,-82.2328829247,255.523851507,-96359.051325,2026.18624453,-1.11206747215,0.0233839559863,2
12,13513,2473029649.52,113136556906.0,0.18271,20.03915,44.342525,0.7460325,0.19512175,11.7497092507,1.00258749412,-1.28203,0.4414825,246.501419491,516.455919929,-119405.705117,38719.8499263,-0.974381053806,0.315963865693,22
12,14558,16954506.2182,7223435184.92,0.18271,116.394,0.0,0.973072,0.0,11.7871564257,0.0,-1.32022,0.0,224.782288672,0.0,-72697.460468,0.0,-0.593229846687,0.0,1
12,10573,1163412392.87,82866002522.3,0.365669,26.3806,52.7621,0.714602,0.1983175,8.65813536017,1.74830161888,-0.83305,0.5225855,65.9345813346,1997.18906476,-111056.119441,34684.4038576,-0.906246301938,0.283033594989,19
12,11429,28664908.4479,7149763597.72,0.365669,171.562,0.0,0.380101,0.0,10.4441018226,0.0,-1.95725,0.0,15690.1199857,0.0,-59179.0362095,0.0,-0.482916051697,0.0,1
12,7875,11308094.2739,6107492346.28,0.865051,81.8978,0.0,0.556698,0.0,12.0739897355,0.0,-2.0315,0.0,-3460.67018766,0.0,-75829.3262377,0.0,-0.618786671347,0.0,1
12,5780,244460261.174,22257262668.0,1.259331,76.39915,69.2856,0.421395,0.1774705,11.2766174921,0.303764272933,-1.76425,0.2113125,3210.42271483,9301.6193657,-76898.5707384,31615.4829261,-0.627511979592,0.257990416288,10
12,6002,12571824.9361,5443240928.85,1.259331,51.4912,0.0,0.649119,0.0,11.646972761,0.0,-1.83501,0.0,83.0005495724,0.0,-76466.7173095,0.0,-0.623987945303,0.0,1
12,3885,487195246.248,80584600222.6,1.486707,15.73455,11.26365,0.6402525,0.346584,10.492151206,0.948523521909,-1.21735,0.58208475,236.980413119,970.283939403,-123531.479133,19029.2927964,-1.00804842364,0.155283889912,26
12,2355,224493417.031,34758480703.0,1.736966,23.13925,40.7395,0.6198715,0.31793025,12.1413359153,0.563449747715,-1.86214,0.490545,323.614448048,1114.18569372,-112850.8405,36733.2385361,-0.920891684216,0.299752609304,14
