NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name
     71.,    14.,    7.230,     0.078,    11.680,     9.957,   -2,   17.31,  -19.94,  NGC4623        
     60.,     9.,    7.160,     0.062,    12.029,    10.427,   -2,   17.40,  -20.10,  NGC4638        
   4200.,   120.,    9.090,     0.012,    12.777,    10.990,   -5,   14.66,  -21.43,  NGC4636        
   4000.,   500.,    9.130,     0.051,    13.716,    11.409,   -5,   17.09,  -22.41,  NGC4649        
     -2.,     2.,    5.590,       NaN,    10.800,     8.539,   -5,   16.54,  -16.30,  VCC-1993       
    205.,    28.,    7.680,     0.056,    11.958,    10.341,   -5,   14.97,  -19.74,  NGC4660        
     24.,     6.,    6.630,     0.099,    11.170,     9.151,   -5,   17.09,  -17.36,  IC3735         
    750.,   290.,    8.330,     0.142,    13.469,    11.304,   -5,  101.90,  -21.28,  NGC4673        
     17.,     5.,    6.510,     0.119,    11.184,     9.173,   -5,   14.38,  -17.85,  IC3773         
      9.,     4.,    6.170,     0.167,    10.779,     8.503,   -5,   15.80,  -16.36,  IC3779         
    229.,    70.,    7.810,     0.116,    12.554,    10.870,   -5,   12.01,  -21.27,  NGC4697        
    110.,    12.,    7.450,     0.045,    12.276,    10.675,   -2,   16.05,  -20.53,  NGC4754        
    240.,    25.,    7.860,     0.043,    12.914,    11.057,   -2,   23.88,  -21.70,  NGC4762        
   6100.,  1400.,    9.300,     0.090,    13.653,    11.382,   -3,  102.70,  -22.25,  NGC4816        
   6500.,  2000.,    9.380,     0.117,    14.320,    11.694,   -5,  109.10,  -23.16,  NGC4839        
   1290.,   620.,    8.560,     0.170,    12.761,    10.982,   -5,   90.80,  -21.12,  NGC4840        
    880.,   330.,    8.380,     0.138,    12.501,    10.837,   -5,  105.10,  -20.99,  IC3959         
   2150.,   650.,    8.760,     0.115,    12.089,    10.495,   -3,  115.60,  -20.88,  PGC044560      
    920.,   250.,    8.370,     0.104,    12.311,    10.704,   -5,  101.90,  -20.53,  IC3976         
  20000.,  2000.,    9.890,     0.041,    14.483,    11.796,   -4,  106.40,  -23.48,  NGC4874        
    295.,    89.,    7.880,     0.115,    12.981,    11.088,   -5,  100.10,  -20.47,  NGC4881        
    620.,   410.,    8.200,     0.220,    12.269,    10.669,   -5,  107.70,  -20.41,  IC4012         
  11000.,  2000.,    9.630,     0.073,    14.611,    11.894,   -5,   96.60,  -23.47,  NGC4889        
    160.,   159.,    7.590,     0.300,    12.032,    10.430,   -5,   85.80,  -20.16,  IC4021         
    650.,   190.,    8.250,     0.111,    12.474,    10.820,   -2,  120.90,  -21.01,  IC4026         
    470.,   160.,    8.100,     0.127,    12.254,    10.656,   -5,  105.40,  -20.86,  IC4041         
   1100.,   510.,    8.500,     0.165,    12.690,    10.945,   -5,  103.00,  -21.39,  IC4045         
   6700.,   530.,    9.280,     0.033,    13.445,    11.293,   -5,  129.40,  -21.26,  IC4051         
   1300.,   300.,    8.630,     0.090,    13.862,    11.473,   -3,  116.50,  -22.36,  NGC4926        
      8.,     3.,    6.080,     0.138,    10.596,     8.199,   10,    3.80,  -15.78,  ESO-269-58     
   1000.,   300.,    8.520,     0.114,    13.308,    11.234,   -5,   36.20,  -22.34,  NGC5018        
      7.,     6.,    6.130,     0.269,    11.300,     9.363,   -2,    3.29,  -18.14,  NGC5102        
   1300.,   300.,    8.570,     0.090,    12.554,    10.870,   -4,    3.80,  -21.26,  NGC5128        
  32500.,  8000.,   10.120,     0.096,    14.753,    12.043,   -4,  205.00,  -23.80,  ESO-444-G046   
    220.,    45.,    7.790,     0.081,    12.198,    10.606,    4,    7.62,  -21.16,  NGC5194        
   5878.,   355.,    9.240,     0.025,    12.658,    10.928,   -5,   37.99,  -21.53,  NGC5193        
   6400.,   300.,    9.370,     0.020,    14.227,    11.644,   -5,   49.68,  -23.08,  IC4296         
     43.,    12.,    7.070,     0.107,    12.124,    10.532,    5,    4.61,  -21.00,  NGC5236        
